account_rewards,date
-335.57838287355844,2022-01-03
-11188.924535751226,2022-01-04
-7542.413299789419,2022-01-05
-3070.82456519315,2022-01-06
-2046.6893119812012,2022-01-07
7216.364948272705,2022-01-10
3706.855239868164,2022-01-11
-9700.979724884033,2022-01-12
-4866.239448547363,2022-01-13
-13385.67692565918,2022-01-14
-8998.934101104736,2022-01-18
-10517.67607498169,2022-01-19
-9819.141677856445,2022-01-20
4552.23221206665,2022-01-21
-2149.033046722412,2022-01-24
-3458.7586936950684,2022-01-25
72.36281967163086,2022-01-26
15623.165668487549,2022-01-27
-944.0684795951238,2022-01-28
1015.6896221160423,2022-01-31
3828.669347763178,2022-02-01
-14454.524081817595,2022-02-02
94.86527775565628,2022-02-03
412.6409721374512,2022-02-04
13631.679080963135,2022-02-07
8151.378932952881,2022-02-08
-16634.586700439453,2022-02-09
-15255.87057876587,2022-02-10
-4812.296039581299,2022-02-11
13188.162567138672,2022-02-14
-1972.27392578125,2022-02-15
-17336.110103607178,2022-02-16
-6131.218494415283,2022-02-17
-17733.98405456543,2022-02-18
-12162.514122009277,2022-02-22
6536.733558654785,2022-02-23
22977.501022338867,2022-02-24
-483.3330192565918,2022-02-25
-13087.025802612305,2022-02-28
15597.805355072021,2022-03-01
-5111.739559173584,2022-03-02
-5072.045330047607,2022-03-03
-21878.898456573486,2022-03-04
-6846.8455238342285,2022-03-07
19289.546741485596,2022-03-08
-3101.659622192383,2022-03-09
-7989.0923500061035,2022-03-10
-1559.996109008789,2022-03-11
16039.931705474854,2022-03-14
15007.567649841309,2022-03-15
12621.893692016602,2022-03-16
9137.213718414307,2022-03-17
-6765.894420623779,2022-03-18
7917.53804397583,2022-03-21
-13085.20987701416,2022-03-22
11036.06127166748,2022-03-23
1693.2780647277832,2022-03-24
4037.1082077026367,2022-03-25
9627.09366607666,2022-03-28
-1924.383716583252,2022-03-29
-16789.18886566162,2022-03-30
2350.7906227111816,2022-03-31
