account_rewards,date
-807.5393508147681,2022-10-04
-12456.937031196663,2022-10-05
-17881.046502906713,2022-10-06
-2667.5967330932617,2022-10-07
4327.961883544922,2022-10-10
-232.5435562133789,2022-10-11
23703.8588180542,2022-10-12
-6296.032905578613,2022-10-13
13498.843811035156,2022-10-14
7321.049873352051,2022-10-17
-2025.796127319336,2022-10-18
-1391.1104583740234,2022-10-19
19561.900131225586,2022-10-20
14401.475959777832,2022-10-21
2794.844551086426,2022-10-24
7029.258392333984,2022-10-25
5885.598182678223,2022-10-26
22978.60163116455,2022-10-27
457.19954681396484,2022-10-28
-4489.136405944824,2022-10-31
-7716.634841918945,2022-11-01
-562.91162109375,2022-11-02
6676.856285095215,2022-11-03
10735.888931274414,2022-11-04
13400.030220031738,2022-11-07
-13323.806694030762,2022-11-08
17560.43952178955,2022-11-09
-14300.03532409668,2022-11-10
-5506.4511642456055,2022-11-11
-7661.424560546875,2022-11-14
5044.199104309082,2022-11-15
4335.03475189209,2022-11-16
10428.001098632812,2022-11-17
-5396.770210266113,2022-11-18
8341.251373291016,2022-11-21
2851.734405517578,2022-11-22
7161.899879455566,2022-11-23
-12861.642822265625,2022-11-25
-190.28350830078125,2022-11-28
20395.064010620117,2022-11-29
-8845.513427734375,2022-11-30
215.88682556152344,2022-12-01
-8813.45597076416,2022-12-02
-2366.2927169799805,2022-12-05
1993.4993362426758,2022-12-06
3465.6184158325195,2022-12-07
-9284.58292388916,2022-12-08
10673.541862487793,2022-12-09
-4037.6876068115234,2022-12-12
-4912.878746032715,2022-12-13
-20787.62744140625,2022-12-14
-6933.875350952148,2022-12-15
-1957.7898788452148,2022-12-16
335.09496307373047,2022-12-19
11996.004997253418,2022-12-20
-6392.740676879883,2022-12-21
4646.872970581055,2022-12-22
367.5855712890625,2022-12-23
-8211.708145141602,2022-12-27
6751.863990783691,2022-12-28
-1461.1233139038086,2022-12-29
-4854.299751281738,2022-12-30
