account_value,date,daily_return
932767.4511366846,2022-04-04,
924177.5641119807,2022-04-05,-0.009209033842503933
919606.9484660266,2022-04-06,-0.004945603337975335
924558.462727917,2022-04-07,0.005384381088191947
923570.645057255,2022-04-08,-0.001068420992813568
909797.8102330592,2022-04-11,-0.014912594827374615
908296.2984003414,2022-04-12,-0.001650379695168902
920138.3636100658,2022-04-13,0.013037667587746604
914085.8606043552,2022-04-14,-0.0065778183424112235
910975.0969052204,2022-04-18,-0.0034031416885478283
921804.6636236004,2022-04-19,0.011887884482430167
923380.9326317027,2022-04-20,0.0017099815940462282
913171.6784136319,2022-04-21,-0.011056384052650747
890383.2260089535,2022-04-22,-0.024955277242354468
895865.6036927646,2022-04-25,0.006157323637357104
871203.3863019947,2022-04-26,-0.02752892542041141
867621.0066543088,2022-04-27,-0.004111990040456703
877803.5914653554,2022-04-28,0.011736212854403183
854699.9507769588,2022-04-29,-0.02631982930239396
853658.4459775928,2022-05-02,-0.001218561903998272
854379.8298634189,2022-05-03,0.0008450497845189364
874521.2946049046,2022-05-04,0.02357436825809134
847070.8117452282,2022-05-05,-0.03138915316187707
846662.8653886303,2022-05-06,-0.00048159652173285217
829683.2224380916,2022-05-09,-0.02005478643821801
830664.816251202,2022-05-10,0.0011830946879050064
816631.021128098,2022-05-11,-0.016894654556862898
812694.1649071889,2022-05-12,-0.004820850689055134
822682.2938969044,2022-05-13,0.01229014483062807
825639.4296105504,2022-05-16,0.0035945051152597163
836570.1235044255,2022-05-17,0.01323906478041037
835733.5648219076,2022-05-18,-0.000999986323936053
834003.7292438131,2022-05-19,-0.002069840976726911
833899.8352513583,2022-05-20,-0.0001245725754115412
836812.6245308955,2022-05-23,0.0034929726046284415
836829.7784145777,2022-05-24,2.049907372247972e-05
839485.5293472864,2022-05-25,0.0031735855979457828
848208.6163148539,2022-05-26,0.010390991461579846
863353.270269108,2022-05-27,0.01785486926559643
860890.4101904567,2022-05-31,-0.0028526678052469556
855076.4306332018,2022-06-01,-0.006753449089958563
864720.108952042,2022-06-02,0.011278147746042633
854527.085109875,2022-06-03,-0.011787656765054222
853614.880051884,2022-06-06,-0.0010674969511044186
860557.2354048236,2022-06-07,0.008132889333557047
855088.8098730396,2022-06-08,-0.006354516941817989
835204.8661591419,2022-06-09,-0.023253659133780524
815704.7161205371,2022-06-10,-0.023347744761450073
792659.7877756275,2022-06-13,-0.028251557076328537
793697.3240022968,2022-06-14,0.0013089300639066437
804548.0129974063,2022-06-15,0.013671066623223371
788865.585014252,2022-06-16,-0.01949222138369122
794467.9056484073,2022-06-17,0.007101742984584769
809187.5533346103,2022-06-21,0.018527680704973903
811730.4409730304,2022-06-22,0.0031425194665204437
820084.9434374165,2022-06-23,0.010292212836531478
838938.650948006,2022-06-24,0.02298994471421878
834556.2325306552,2022-06-27,-0.005223765066013519
819581.4588407443,2022-06-28,-0.017943396869138817
826068.6619463046,2022-06-29,0.007915263376914394
818864.6070115818,2022-06-30,-0.008720891212298687
829193.6453882526,2022-07-01,0.012613853728965285
831062.456006287,2022-07-05,0.002253768620186891
