account_rewards,date
8671.837045333814,2022-07-06
-2016.7221885451581,2022-07-07
-5269.916994552594,2022-07-08
1155.8141749267234,2022-07-11
-5791.549001846346,2022-07-12
1230.1173959540902,2022-07-13
11193.670405552024,2022-07-14
-2079.0626023331424,2022-07-15
24358.566652107285,2022-07-18
6165.638772247359,2022-07-19
6835.440521240234,2022-07-20
-9748.996948242188,2022-07-21
-1142.6575012207031,2022-07-22
-9181.224212646484,2022-07-25
15692.70932006836,2022-07-26
15683.712043762207,2022-07-27
15043.010353088379,2022-07-28
-903.34415213787,2022-07-29
-3832.635358428932,2022-08-01
5800.7370796201285,2022-08-02
-3745.7091457822826,2022-08-03
2295.627578224172,2022-08-04
305.6391296386719,2022-08-05
181.49090576171875,2022-08-08
11591.76205444336,2022-08-09
-1264.7666549682617,2022-08-10
10750.045722961426,2022-08-11
3510.744094848633,2022-08-12
7381.068489074707,2022-08-15
-4411.657379150391,2022-08-16
824.2609405517578,2022-08-17
-6166.774551391602,2022-08-18
-15738.858879089355,2022-08-19
-5719.3266677856445,2022-08-22
1998.7495956420898,2022-08-23
9904.154518127441,2022-08-24
-27671.838409423828,2022-08-25
-3313.1366958618164,2022-08-26
-8772.551025390625,2022-08-29
-5520.819129943848,2022-08-30
4907.101127624512,2022-08-31
-9735.224464416504,2022-09-01
-4319.123596191406,2022-09-02
12189.503746032715,2022-09-06
5466.925628662109,2022-09-07
7673.210861206055,2022-09-08
5944.099983215332,2022-09-09
-34603.59328460693,2022-09-12
-1117.1537017822266,2022-09-13
-2674.5933532714844,2022-09-14
-2825.004135131836,2022-09-15
3556.975845336914,2022-09-16
-6603.729461669922,2022-09-19
-12129.01131439209,2022-09-20
-2680.189971923828,2022-09-21
-13273.321228027344,2022-09-22
-9667.221488952637,2022-09-23
-4083.9548568725586,2022-09-26
16859.717918395996,2022-09-27
-11682.683731079102,2022-09-28
-10469.337120056152,2022-09-29
20501.377975463867,2022-09-30
