date,ensemble
2022-07-15,841735.8978945927
2022-07-18,839656.8352922596
2022-07-19,864015.4019443669
2022-07-20,870181.0407166142
2022-07-21,877016.4812378545
2022-07-22,867267.4842896123
2022-07-25,866124.8267883916
2022-07-26,856943.6025757451
2022-07-27,872636.3118958134
2022-07-28,888320.0239395757
2022-07-29,903363.034292664
2022-08-01,902459.6901405262
2022-08-02,898627.0547820972
2022-08-03,904427.7918617174
2022-08-04,900682.0827159351
2022-08-05,902977.7102941592
2022-08-08,903283.349423798
2022-08-09,903464.8403295596
2022-08-10,915056.602384003
2022-08-11,913791.8357290349
2022-08-12,924541.8814519962
2022-08-15,928052.6255468448
2022-08-16,935433.6940359196
2022-08-17,931022.0366567692
2022-08-18,931846.2975973208
2022-08-19,925679.5230459291
2022-08-22,909940.66416684
2022-08-23,904221.3374990544
2022-08-24,906220.0870946964
2022-08-25,916124.2416128238
2022-08-26,888452.4032034
2022-08-29,885139.2665075382
2022-08-30,876366.7154821475
2022-08-31,870845.8963522037
2022-09-01,875752.9974798282
2022-09-02,866017.7730154117
2022-09-06,861698.6494192203
2022-09-07,873888.153165253
2022-09-08,879355.0787939151
2022-09-09,887028.2896551212
2022-09-12,892972.3896383365
2022-09-13,858368.7963537296
2022-09-14,857251.6426519473
2022-09-15,854577.0492986758
2022-09-16,851752.045163544
2022-09-19,855309.0210088809
2022-09-20,848705.291547211
2022-09-21,836576.2802328189
2022-09-22,833896.0902608951
2022-09-23,820622.7690328677
2022-09-26,810955.5475439151
2022-09-27,806871.5926870425
2022-09-28,823731.3106054385
2022-09-29,812048.6268743594
2022-09-30,801579.2897543033
2022-10-03,822080.6677297672
2022-10-04,843401.4320272525
2022-10-05,842593.8926764377
2022-10-06,830136.9556452411
2022-10-07,812255.9091423344
2022-10-10,809588.3124092411
2022-10-11,813916.274292786
2022-10-12,813683.7307365726
2022-10-13,837387.5895546268
2022-10-14,831091.5566490482
2022-10-17,844590.4004600834
2022-10-18,851911.4503334354
2022-10-19,849885.6542061161
2022-10-20,848494.5437477421
2022-10-21,868056.4438789677
2022-10-24,882457.9198387455
2022-10-25,885252.7643898319
2022-10-26,892282.0227821659
2022-10-27,898167.6209648441
2022-10-28,921146.2225960088
2022-10-31,921603.4221428226
2022-11-01,917114.2857368778
2022-11-02,909397.6508949588
2022-11-03,908834.7392738652
2022-11-04,915511.5955589605
2022-11-07,926247.4844902348
2022-11-08,939647.5147102664
2022-11-09,926323.7080162356
2022-11-10,943884.1475380252
2022-11-11,929584.1122139286
2022-11-14,924077.661049683
2022-11-15,916416.236489136
2022-11-16,921460.4355934452
2022-11-17,925795.4703453372
2022-11-18,936223.47144397
2022-11-21,930826.701233704
2022-11-22,939167.952606995
2022-11-23,942019.6870125126
2022-11-25,949181.5868919682
2022-11-28,936319.9440697024
2022-11-29,936129.6605614016
2022-11-30,956524.724572022
2022-12-01,947679.2111442876
2022-12-02,947895.097969849
2022-12-05,939081.6419990849
2022-12-06,936715.3492821048
2022-12-07,938708.8486183475
2022-12-08,942174.46703418
2022-12-09,932889.8841102908
2022-12-12,943563.4259727788
2022-12-13,939525.7383659672
2022-12-14,934612.8596199343
2022-12-15,913825.2321785282
2022-12-16,906891.356827576
2022-12-19,904933.5669487308
2022-12-20,905268.6619118046
2022-12-21,917264.666909058
2022-12-22,910871.926232178
2022-12-23,915518.7992027592
2022-12-27,915886.3847740482
2022-12-28,907674.6766289066
2022-12-29,914426.5406196904
2022-12-30,912965.4173057864
2023-01-03,908111.1175545048
