train/value_loss,train/n_updates,train/entropy_loss,time/iterations,time/total_timesteps,time/fps,train/reward,train/policy_loss,train/std,train/learning_rate,time/time_elapsed,train/explained_variance
0.8803718686103821,99,-41.37445068359375,100,500,225,0.20926876,-17.270814895629883,1.0079264640808105,0.0007,2,-0.08848977088928223
1.1077640056610107,199,-41.387088775634766,200,1000,236,-0.83620393,16.864883422851562,1.0083441734313965,0.0007,4,0.08527779579162598
25.36447525024414,299,-41.412254333496094,300,1500,235,4.1716747,-199.53208923339844,1.0093122720718384,0.0007,6,-0.01671004295349121
90.98786926269531,399,-41.45758819580078,400,2000,242,-2.6449635,354.04559326171875,1.0109498500823975,0.0007,8,0.0
82.25660705566406,499,-41.43821334838867,500,2500,245,-6.6481175,322.8118896484375,1.0103375911712646,0.0007,10,2.980232238769531e-07
17.22115707397461,599,-41.498756408691406,600,3000,244,-0.18800993,157.58140563964844,1.0122565031051636,0.0007,12,0.04159945249557495
2.587132692337036,699,-41.588958740234375,700,3500,245,-3.0933318,-47.04597091674805,1.0157225131988525,0.0007,14,0.04363358020782471
3.016925811767578,799,-41.62974548339844,800,4000,245,-1.4996308,61.00638961791992,1.0171436071395874,0.0007,16,-1.1920928955078125e-07
8.468793869018555,899,-41.67048645019531,900,4500,247,0.9137792,113.46490478515625,1.018476128578186,0.0007,18,-0.08234262466430664
2.1957788467407227,999,-41.71100616455078,1000,5000,248,-9.740071,-44.03153610229492,1.0200207233428955,0.0007,20,0.0
21.767515182495117,1099,-41.748512268066406,1100,5500,249,2.5062208,-177.9831085205078,1.0214297771453857,0.0007,22,5.960464477539063e-08
18.483932495117188,1199,-41.81547546386719,1200,6000,248,-0.14473027,-162.9099884033203,1.0235595703125,0.0007,24,-3.5762786865234375e-07
4.647992134094238,1299,-41.89216613769531,1300,6500,249,-3.8501124,24.87409019470215,1.0262855291366577,0.0007,26,-0.007127523422241211
7.340614318847656,1399,-41.909446716308594,1400,7000,250,0.6261509,98.52583312988281,1.026835322380066,0.0007,27,-1.1920928955078125e-07
81.02421569824219,1499,-41.991943359375,1500,7500,251,0.08122036,-294.53118896484375,1.0298726558685303,0.0007,29,-1.1920928955078125e-07
75.84114837646484,1599,-41.987369537353516,1600,8000,251,0.19599038,361.6943054199219,1.029753565788269,0.0007,31,0.0
7.341139316558838,1699,-41.9565544128418,1700,8500,252,1.3556736,-22.556419372558594,1.0286955833435059,0.0007,33,-0.011242032051086426
4.221389293670654,1799,-41.991424560546875,1800,9000,252,3.4746017,85.83924865722656,1.030067801475525,0.0007,35,0.0
4.350244045257568,1899,-42.06959533691406,1900,9500,252,-1.0234178,-76.61187744140625,1.0326435565948486,0.0007,37,-0.05045449733734131
18.122997283935547,1999,-42.1060791015625,2000,10000,253,-1.0757183,-140.33255004882812,1.0339246988296509,0.0007,39,0.0
9.129095077514648,2099,-42.15110778808594,2100,10500,254,1.6920049,19.087249755859375,1.0357725620269775,0.0007,41,-0.019612550735473633
16.177324295043945,2199,-42.133853912353516,2200,11000,254,-8.478699,-82.6820297241211,1.0346425771713257,0.0007,43,0.0
1788.237548828125,2299,-42.12660217285156,2300,11500,254,9.7949505,-1646.656982421875,1.0348281860351562,0.0007,45,3.62396240234375e-05
14.63538646697998,2399,-42.186927795410156,2400,12000,255,0.1796612,115.24028015136719,1.036847710609436,0.0007,46,-0.07777464389801025
0.5045166611671448,2499,-42.25466537475586,2500,12500,255,1.7031494,-24.229373931884766,1.0392587184906006,0.0007,48,0.0
0.37985020875930786,2599,-42.284854888916016,2600,13000,256,0.38848096,4.89787483215332,1.0401943922042847,0.0007,50,5.960464477539063e-08
0.8682198524475098,2699,-42.34724044799805,2700,13500,256,-0.15106604,-28.09273910522461,1.0428510904312134,0.0007,52,0.0
22.91876792907715,2799,-42.40397644042969,2800,14000,256,1.6886514,179.87014770507812,1.0445523262023926,0.0007,54,0.0
5.0467658042907715,2899,-42.44340515136719,2900,14500,257,1.3793198,-89.0540771484375,1.0465459823608398,0.0007,56,0.0
1.7593863010406494,2999,-42.519222259521484,3000,15000,257,0.22204357,46.903053283691406,1.0493186712265015,0.0007,58,1.1920928955078125e-07
2.2799391746520996,3099,-42.610050201416016,3100,15500,257,-0.649102,57.5624885559082,1.0525190830230713,0.0007,60,0.0
7.177631378173828,3199,-42.628562927246094,3200,16000,257,-1.4454153,-14.10863971710205,1.0531672239303589,0.0007,62,0.0
3.355916976928711,3299,-42.70161819458008,3300,16500,257,0.9552502,-73.8340072631836,1.0556895732879639,0.0007,64,0.0
4.958645820617676,3399,-42.73869323730469,3400,17000,257,4.0087876,-27.953571319580078,1.057603359222412,0.0007,65,0.0
10.41085147857666,3499,-42.67635726928711,3500,17500,257,-1.0238118,118.4380874633789,1.0550278425216675,0.0007,67,0.031987547874450684
3.6947028636932373,3599,-42.65484619140625,3600,18000,257,1.7178808,-59.3028678894043,1.0540999174118042,0.0007,69,1.1920928955078125e-07
9.38128662109375,3699,-42.650272369384766,3700,18500,257,-1.0122236,106.5335693359375,1.0539765357971191,0.0007,71,-1.1920928955078125e-07
0.81798255443573,3799,-42.71601867675781,3800,19000,257,0.7615068,21.853153228759766,1.0561050176620483,0.0007,73,0.0
1.3464206457138062,3899,-42.695587158203125,3900,19500,257,1.6124144,-44.380149841308594,1.055733561515808,0.0007,75,-0.021251320838928223
4.323007106781006,3999,-42.75320816040039,4000,20000,257,3.3433785,-67.67265319824219,1.0579676628112793,0.0007,77,-1.1920928955078125e-07
